Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Yermin Mercedes","CHW",64,192,175,43,33,5,0,5,17,26,15,0,40,1,1,0,7,0,1,0.24571429,17423
2021,"Kelvin Gutierrez","2 Tms",79,214,197,44,36,5,2,1,14,12,14,0,54,3,0,0,1,0,0,0.22335025,17468
2021,"Eloy Jimenez","CHW",51,172,160,44,28,8,0,8,16,31,11,0,41,0,1,0,7,0,0,0.275,17484
2021,"Taylor Ward","LAA",61,160,142,32,15,11,0,6,23,22,12,0,41,4,1,1,2,1,1,0.22535211,17548
2021,"Myles Straw","2 Tms",143,436,383,109,80,24,1,4,60,37,46,0,80,2,4,1,9,25,4,0.2845953,17620
2021,"Alex Bregman","HOU",86,259,228,58,38,12,0,8,35,36,25,0,34,3,3,0,10,1,0,0.25438596,17678
2021,"Kevin Newman","PIT",134,377,354,81,64,13,2,2,30,30,18,1,33,1,1,3,5,5,1,0.22881356,17696
2021,"Matt Beaty","LAD",112,212,184,48,37,4,1,6,30,35,19,0,40,9,0,0,3,2,1,0.26086957,17710
2021,"Steven Duggar","SFG",99,247,225,59,34,13,5,7,37,30,20,2,72,2,0,0,4,7,0,0.26222222,17719
2021,"DJ Stewart","BAL",97,271,229,46,24,10,0,12,31,29,39,1,75,3,0,0,1,0,0,0.20087336,17766
2021,"Willie Calhoun","TEX",70,224,205,52,38,7,2,5,19,19,18,0,29,0,1,0,3,0,2,0.25365854,17838
2021,"Andrew Benintendi","KCR",126,382,348,92,61,16,1,14,46,50,29,0,70,0,4,1,1,5,8,0.26436782,17901
2021,"Brendan Rodgers","COL",99,309,286,78,55,13,3,7,31,32,16,0,70,5,2,0,7,0,0,0.27272727,17907
2021,"Ian Happ","CHC",138,410,357,82,45,14,1,22,45,54,49,0,118,4,0,0,6,7,2,0.22969188,17919
2021,"Isan Diaz","MIA",83,192,162,33,22,7,0,4,21,14,27,4,52,0,2,1,1,1,1,0.2037037,17922
2021,"Cedric Mullins","BAL",143,428,378,113,62,25,5,21,65,39,42,2,79,4,3,0,2,24,5,0.2989418,17929
2021,"Andrew Stevenson","WSN",93,183,164,38,29,6,0,3,16,16,12,2,56,5,0,2,2,1,1,0.23170732,17932
2021,"Sam Hilliard","COL",72,181,163,33,15,6,2,10,28,26,17,2,66,1,0,0,0,5,0,0.20245399,17954
2021,"Ty France","SEA",141,434,378,106,74,23,0,9,55,40,33,0,72,21,2,0,5,0,0,0.28042328,17982
2021,"Tyler Stephenson","CIN",108,259,223,63,45,12,0,6,37,27,28,0,55,5,3,0,7,0,0,0.28251121,17988
2021,"David Fletcher","LAA",149,456,433,103,85,16,2,0,52,30,16,1,48,1,1,5,7,12,1,0.23787529,17992
2021,"Paul DeJong","STL",105,312,276,57,34,7,1,15,34,38,27,0,73,7,2,0,3,4,1,0.20652174,18015
2021,"Harrison Bader","STL",101,326,297,81,51,17,1,12,36,42,23,5,69,4,2,0,4,9,3,0.27272727,18030
2021,"Jake Cronenworth","SDP",146,444,389,103,61,20,5,17,71,50,42,6,59,5,3,3,5,3,2,0.26478149,18036
2021,"Dylan Moore","SEA",90,219,196,32,17,7,2,6,22,27,19,0,78,3,1,0,3,11,2,0.16326531,18042
2021,"LaMonte Wade Jr.","SFG",107,339,299,80,44,15,3,18,49,54,31,1,75,4,3,2,2,6,1,0.26755853,18126
2021,"Seth Brown","OAK",105,281,259,57,24,13,1,19,37,46,20,2,82,1,1,0,1,4,1,0.22007722,18171
2021,"Brian Anderson","MIA",65,204,176,49,35,8,0,6,19,23,24,1,39,4,0,0,2,4,0,0.27840909,18289
2021,"Dansby Swanson","ATL",156,506,457,115,69,24,2,20,57,63,40,3,136,4,4,1,7,8,2,0.25164114,18314
2021,"Kyle Tucker","HOU",124,365,321,96,52,26,1,17,49,48,39,5,65,1,2,0,7,14,2,0.29906542,18345
2021,"Austin Riley","ATL",155,513,455,142,90,21,1,30,74,89,43,2,126,10,5,0,10,0,1,0.31208791,18360
2021,"Victor Robles","WSN",98,257,224,48,28,18,1,1,24,15,19,1,58,9,1,4,5,6,5,0.21428571,18363
2021,"Ryan Mountcastle","BAL",137,377,346,86,51,15,0,20,50,53,25,1,106,4,2,0,9,1,1,0.24855491,18373
2021,"Ronald Acuna Jr.","ATL",80,279,234,65,30,16,1,18,56,36,34,2,71,8,3,0,0,14,3,0.27777778,18401
2021,"Trent Grisham","SDP",127,389,347,82,46,25,1,10,49,38,38,2,93,1,3,0,6,10,3,0.23631124,18564
2021,"Luis Arraez","MIN",110,365,329,101,82,12,5,2,49,33,30,2,28,2,4,0,7,2,2,0.30699088,18568
2021,"Ke'Bryan Hayes","PIT",88,276,251,62,45,12,0,5,31,26,23,0,64,1,1,0,8,9,1,0.24701195,18577
2021,"Jared Walsh","LAA",134,393,348,116,66,30,1,19,57,68,39,6,98,4,2,0,5,1,1,0.33333333,18607
2021,"Guillermo Heredia","ATL",93,247,216,44,26,14,0,4,31,19,24,3,62,7,0,0,4,0,0,0.2037037,18721
2021,"Ramon Urias","BAL",69,164,143,45,34,9,0,2,16,23,16,0,40,5,0,0,2,0,1,0.31468531,18795
2021,"Andy Ibanez","TEX",60,175,160,38,25,7,2,4,20,13,12,0,25,1,1,1,5,0,0,0.2375,18819
2021,"Josh Naylor","CLE",59,160,150,43,27,10,0,6,19,16,9,1,24,1,0,0,5,1,0,0.28666667,18839
2021,"Brandon Lowe","TBR",144,427,363,98,43,26,0,29,80,72,54,4,103,8,2,0,2,6,1,0.26997245,18882
2021,"Zack Collins","CHW",73,172,144,32,18,11,0,3,21,20,27,1,48,1,0,0,4,1,1,0.22222222,19181
2021,"Will Smith","LAD",121,363,293,79,43,15,2,19,53,65,43,0,75,17,10,0,8,1,0,0.26962457,19197
2021,"Yuli Gurriel","HOU",129,397,349,110,85,18,0,7,54,47,36,0,51,4,8,0,10,1,1,0.31518625,19198
2021,"Lourdes Gurriel Jr.","TOR",132,385,355,99,62,20,1,16,43,61,24,1,69,2,3,1,7,1,3,0.27887324,19238
2021,"Pete Alonso","NYM",141,438,392,107,62,22,2,21,54,62,34,1,84,10,2,0,14,2,0,0.27295918,19251
2021,"Cavan Biggio","TOR",75,224,190,44,29,7,1,7,25,22,29,2,54,1,3,0,4,1,1,0.23157895,19252
2021,"Jake Fraley","SEA",68,180,143,33,19,6,0,8,21,30,32,1,41,2,2,1,2,6,1,0.23076923,19260
2021,"Garrett Hampson","COL",121,335,309,67,46,12,3,6,44,20,20,2,92,2,2,2,3,9,5,0.21682848,19262
2021,"Adolis Garcia","TEX",134,409,378,94,56,15,2,21,51,58,24,0,122,4,3,0,13,14,3,0.24867725,19287
2021,"Randy Arozarena","TBR",132,371,327,84,54,19,1,10,53,47,30,1,109,11,3,0,4,12,5,0.25688073,19290
2021,"Nick Solak","TEX",118,353,319,74,52,12,2,8,40,28,22,0,78,8,2,2,8,7,2,0.23197492,19294
2021,"Bryan Reynolds","PIT",146,455,393,115,70,18,7,20,63,66,52,5,76,8,2,0,6,2,0,0.29262087,19326
2021,"Jose Rojas","LAA",56,140,130,26,12,10,0,4,16,11,10,0,39,0,0,0,1,2,1,0.2,19331
2021,"Yadiel Hernandez","WSN",103,203,184,48,38,5,0,5,21,19,16,1,36,1,2,0,8,2,0,0.26086957,19334
2021,"Nicky Lopez","KCR",141,424,372,113,90,18,4,1,58,28,40,0,54,3,1,8,7,18,1,0.30376344,19339
2021,"Eli White","TEX",54,133,123,25,15,4,1,5,18,11,8,0,43,2,0,0,1,3,2,0.20325203,19346
2021,"DJ Peters","2 Tms",54,150,142,32,14,7,1,10,22,27,6,2,51,1,1,0,2,2,0,0.22535211,19348
2021,"Sean Murphy","OAK",113,306,269,61,30,19,0,12,30,44,28,0,76,8,1,0,5,0,0,0.2267658,19352
2021,"Austin Hays","BAL",118,315,290,64,36,15,2,11,41,41,18,0,74,7,0,0,4,4,3,0.22068966,19363
2021,"Tommy Edman","STL",157,534,495,129,93,29,2,5,63,40,30,1,74,5,3,1,3,26,5,0.26060606,19470
2021,"Andrew Knizner","STL",52,136,116,24,17,6,0,1,15,8,17,2,25,3,0,0,3,0,0,0.20689655,19514
2021,"Yordan Alvarez","HOU",127,369,332,91,47,23,1,20,55,65,32,3,92,4,1,0,11,1,0,0.27409639,19556
2021,"Nathaniel Lowe","TEX",143,435,373,96,64,16,2,14,52,53,57,2,107,2,3,0,9,7,0,0.25737265,19566
2021,"Chas McCormick","HOU",87,230,206,54,38,7,0,9,33,32,16,0,76,3,5,0,4,4,1,0.26213592,19599
2021,"Bryan De La Cruz","MIA",56,164,150,42,33,4,2,3,10,17,12,1,42,1,1,0,6,1,1,0.28,19600
2021,"Vladimir Guerrero Jr.","TOR",158,525,458,145,81,26,1,37,90,92,59,7,86,6,2,0,17,3,1,0.31659389,19611
2021,"Bo Bichette","TOR",157,526,490,140,96,22,1,21,93,80,26,0,109,6,4,0,9,23,1,0.28571429,19612
2021,"Brent Rooker","MIN",51,137,123,24,12,5,0,7,18,12,9,0,48,5,0,0,1,0,0,0.19512195,19627
