Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Jorge Mateo","2 Tms",40,75,71,18,12,4,1,1,7,6,3,0,22,0,0,1,1,4,3,0.25352113,17273
2021,"Bobby Bradley","CLE",43,78,68,11,3,3,0,5,9,12,7,0,31,3,0,0,0,0,0,0.16176471,17278
2021,"Willi Castro","DET",68,136,128,36,26,8,1,1,17,15,5,0,22,1,1,1,3,1,1,0.28125,17338
2021,"Rafael Devers","BOS",113,252,227,63,46,11,0,6,28,28,20,0,41,4,1,0,5,1,2,0.27753304,17350
2021,"Yermin Mercedes","CHW",34,70,65,22,15,4,1,2,9,11,5,1,6,0,0,0,0,0,0,0.33846154,17423
2021,"Kelvin Gutierrez","2 Tms",44,81,75,19,13,3,1,2,9,8,5,0,22,1,0,0,3,0,1,0.25333333,17468
2021,"Taylor Ward","LAA",38,77,66,20,14,4,0,2,10,11,8,0,14,2,0,1,2,0,0,0.3030303,17548
2021,"Myles Straw","2 Tms",94,202,181,44,39,5,0,0,26,11,21,0,41,0,0,0,4,5,2,0.24309392,17620
2021,"Alex Bregman","HOU",58,141,120,36,27,5,0,4,19,19,19,4,19,1,1,0,3,0,0,0.3,17678
2021,"Kevin Newman","PIT",92,177,163,36,23,9,1,3,20,9,9,2,8,0,2,3,2,1,0,0.2208589,17696
2021,"Willie Calhoun","TEX",34,60,55,13,8,3,1,1,7,6,3,0,5,2,0,0,3,0,0,0.23636364,17838
2021,"Andrew Benintendi","KCR",84,156,145,44,29,11,1,3,17,23,7,0,27,2,2,0,1,3,1,0.30344828,17901
2021,"Brendan Rodgers","COL",56,106,101,32,16,8,0,8,18,19,3,0,14,2,0,0,1,0,0,0.31683168,17907
2021,"Ian Happ","CHC",75,125,108,23,14,6,0,3,18,12,13,0,38,1,1,2,6,2,0,0.21296296,17919
2021,"Isan Diaz","MIA",51,86,77,13,11,2,0,0,4,3,7,2,21,1,1,0,1,0,0,0.16883117,17922
2021,"Cedric Mullins","BAL",99,247,224,62,41,12,0,9,26,20,17,1,46,4,1,1,0,6,3,0.27678571,17929
2021,"Ty France","SEA",92,216,193,60,41,9,1,9,30,33,13,1,34,6,4,0,8,0,0,0.31088083,17982
2021,"Tyler Stephenson","CIN",73,143,127,37,24,9,0,4,19,18,13,1,20,1,2,0,4,0,0,0.29133858,17988
2021,"David Fletcher","LAA",96,209,193,61,47,11,1,2,22,17,15,0,12,0,0,1,3,3,2,0.31606218,17992
2021,"Paul DeJong","STL",51,90,80,13,6,3,0,4,10,7,8,0,30,2,0,0,3,0,0,0.1625,18015
2021,"Harrison Bader","STL",42,75,70,17,9,4,0,4,9,8,4,1,16,1,0,0,0,0,1,0.24285714,18030
2021,"Jake Cronenworth","SDP",107,199,178,48,29,13,2,4,23,21,13,0,31,5,0,0,3,1,1,0.26966292,18036
2021,"Dylan Moore","SEA",81,158,136,28,18,4,0,6,20,16,21,0,33,1,0,0,3,10,3,0.20588235,18042
2021,"Kyle Garlick","MIN",23,63,59,16,6,6,0,4,12,6,2,0,19,1,1,0,1,0,0,0.27118644,18063
2021,"Brian Anderson","MIA",31,60,57,9,7,1,0,1,5,5,2,1,26,1,0,0,2,1,0,0.15789474,18289
2021,"Dansby Swanson","ATL",75,147,131,31,15,9,0,7,21,25,12,1,31,1,3,0,0,1,1,0.23664122,18314
2021,"Kyle Tucker","HOU",91,202,185,53,27,11,2,13,34,44,14,0,25,0,3,0,3,0,0,0.28648649,18345
2021,"Austin Riley","ATL",70,149,135,37,22,12,0,3,17,18,9,0,42,2,3,0,1,0,0,0.27407407,18360
2021,"Victor Robles","WSN",55,112,91,16,12,3,0,1,13,4,14,2,27,7,0,0,2,2,1,0.17582418,18363
2021,"Ryan Mountcastle","BAL",91,209,188,50,28,8,1,13,27,36,16,1,55,0,5,0,3,3,2,0.26595745,18373
2021,"Ronald Acuna Jr.","ATL",40,81,63,19,10,3,0,6,16,16,15,0,14,1,2,0,0,3,3,0.3015873,18401
2021,"Trent Grisham","SDP",73,138,115,30,20,3,2,5,12,24,16,0,26,5,1,1,4,3,2,0.26086957,18564
2021,"Luis Arraez","MIN",63,114,99,25,19,5,1,0,9,9,13,0,20,0,2,0,2,0,0,0.25252525,18568
2021,"Ke'Bryan Hayes","PIT",54,120,111,31,20,8,2,1,18,12,8,0,23,0,1,0,3,0,0,0.27927928,18577
2021,"Jared Walsh","LAA",95,192,182,31,17,4,0,10,13,30,9,0,54,0,1,0,2,1,0,0.17032967,18607
2021,"Guillermo Heredia","ATL",57,100,89,23,10,12,0,1,15,7,8,0,19,2,1,0,1,0,0,0.25842697,18721
2021,"Ramon Urias","BAL",58,132,119,28,18,5,0,5,17,15,12,0,36,1,0,0,1,1,1,0.23529412,18795
2021,"Andy Ibanez","TEX",43,97,93,32,21,8,0,3,11,12,3,0,10,1,0,0,1,0,0,0.34408602,18819
2021,"Josh Naylor","CLE",48,90,83,16,12,3,0,1,9,5,5,0,21,1,0,0,2,0,0,0.19277108,18839
2021,"Brandon Lowe","TBR",97,188,172,34,19,5,0,10,17,27,14,0,64,1,1,0,0,1,0,0.19767442,18882
2021,"Danny Mendick","CHW",43,80,73,16,15,0,0,1,5,8,7,0,20,0,0,0,1,0,1,0.21917808,18889
2021,"Will Smith","LAD",73,138,121,28,18,4,0,6,18,11,15,4,26,1,1,0,3,2,0,0.23140496,19197
2021,"Yuli Gurriel","HOU",92,208,181,59,38,13,0,8,29,34,23,2,17,0,4,0,6,0,0,0.32596685,19198
2021,"Lourdes Gurriel Jr.","TOR",90,156,145,39,25,8,1,5,19,23,8,0,33,0,3,0,1,0,0,0.26896552,19238
2021,"Pete Alonso","NYM",96,199,169,40,18,5,1,16,27,32,26,5,43,2,2,0,6,1,0,0.23668639,19251
2021,"Cavan Biggio","TOR",45,70,60,12,9,3,0,0,2,5,8,0,24,0,1,1,0,2,0,0.2,19252
2021,"Jake Fraley","SEA",47,85,71,12,10,1,0,1,6,6,14,0,30,0,0,0,1,4,1,0.16901408,19260
2021,"Garrett Hampson","COL",78,159,144,39,22,9,3,5,25,13,13,0,26,1,0,1,3,8,2,0.27083333,19262
2021,"Adolis Garcia","TEX",95,213,203,47,26,11,0,10,26,32,8,0,72,1,1,0,2,2,2,0.23152709,19287
2021,"Randy Arozarena","TBR",102,233,202,61,36,13,2,10,41,22,26,3,61,3,2,0,5,8,5,0.3019802,19290
2021,"Nick Solak","TEX",75,158,139,37,28,6,0,3,17,21,12,0,29,7,0,0,3,0,3,0.26618705,19294
2021,"Bryan Reynolds","PIT",104,191,166,54,32,17,1,4,30,24,23,4,43,0,2,0,4,3,2,0.3253012,19326
2021,"Yadiel Hernandez","WSN",48,86,80,24,16,3,1,4,12,13,6,0,23,0,0,0,3,1,0,0.3,19334
2021,"Nicky Lopez","KCR",75,141,125,36,30,3,2,1,20,15,9,0,20,1,2,4,2,4,0,0.288,19339
2021,"Eli White","TEX",39,87,75,10,7,2,0,1,8,4,10,0,23,2,0,0,1,1,1,0.13333333,19346
2021,"DJ Peters","2 Tms",44,90,81,12,7,2,0,3,7,11,6,2,31,1,2,0,2,0,0,0.14814815,19348
2021,"Sean Murphy","OAK",72,142,124,24,15,4,0,5,17,15,12,0,38,4,2,0,2,0,0,0.19354839,19352
2021,"Austin Hays","BAL",85,214,198,61,37,11,2,11,32,30,10,0,33,2,1,3,5,0,0,0.30808081,19363
2021,"Tommy Edman","STL",71,157,146,39,20,12,1,6,28,16,8,0,21,1,1,1,1,4,0,0.26712329,19470
2021,"Yordan Alvarez","HOU",99,229,205,58,33,12,0,13,37,39,18,0,53,4,2,0,5,0,0,0.28292683,19556
2021,"Zack Short","DET",39,81,67,9,4,2,0,3,10,8,12,1,21,0,2,0,2,1,0,0.13432836,19562
2021,"Nathaniel Lowe","TEX",101,207,184,51,38,8,1,4,23,19,23,0,55,0,0,0,4,1,0,0.27717391,19566
2021,"Chas McCormick","HOU",43,90,78,19,9,5,0,5,14,18,9,0,28,1,2,0,1,0,1,0.24358974,19599
2021,"Vladimir Guerrero Jr.","TOR",81,173,146,43,29,3,0,11,33,19,27,0,24,0,0,0,3,1,0,0.29452055,19611
2021,"Bo Bichette","TOR",75,164,150,51,35,8,0,8,28,22,14,0,28,0,0,0,1,2,0,0.34,19612
2021,"Brent Rooker","MIN",33,76,66,14,7,5,0,2,7,4,6,0,22,4,0,0,0,0,0,0.21212121,19627
2021,"Mike Brosseau","TBR",49,109,94,22,12,6,0,4,15,14,13,0,30,0,2,0,0,2,0,0.23404255,19683
2021,"Fernando Tatis Jr.","SDP",67,134,116,33,15,9,0,9,23,21,17,3,36,0,1,0,2,4,1,0.28448276,19709
2021,"Josh Rojas","ARI",74,148,130,36,25,7,0,4,22,13,15,0,41,0,0,1,1,4,0,0.27692308,19734
2021,"Shohei Ohtani","LAA",105,224,198,52,19,10,5,18,35,34,23,5,69,2,1,0,1,7,0,0.26262626,19755
2021,"Abraham Toro","2 Tms",55,122,108,27,22,5,0,0,15,8,11,0,21,3,0,0,3,0,1,0.25,19844
2021,"Pavin Smith","ARI",82,149,134,32,27,3,1,1,18,19,13,0,31,1,1,0,2,0,0,0.23880597,19892
2021,"Jesus Sanchez","MIA",38,76,70,18,11,2,1,4,6,8,5,1,26,1,0,0,1,0,0,0.25714286,19913
2021,"Daulton Varsho","ARI",51,90,82,24,16,5,0,3,11,11,8,1,16,0,0,0,2,2,0,0.29268293,19918
2021,"Ryan McKenna","BAL",43,89,78,12,9,2,0,1,7,9,9,0,31,1,0,1,0,0,0,0.15384615,19928
2021,"Luke Williams","PHI",37,65,59,17,13,3,0,1,6,4,6,0,10,0,0,0,2,0,0,0.28813559,19931
2021,"Gavin Lux","LAD",56,98,85,16,13,2,0,1,7,5,12,0,24,0,1,0,1,1,0,0.18823529,19955
